"klinik";"laki_laki";"perempuan";"periode_update"
"GENERAL CHECKUP";"469";"515";"November 2021"
"GIGI & MULUT";"45";"61";"November 2021"
"GIZI";"7";"5";"November 2021"
"HEMODIALISA";"115";"79";"November 2021"
"INTERNE/PENY. DALAM";"449";"504";"November 2021"
"JANTUNG";"280";"266";"November 2021"
"KEBIDANAN/KANDUNGAN";"0";"34";"November 2021"
"KELUARGA BERENCANA";"0";"3";"November 2021"
"KULIT & KELAMIN";"80";"98";"November 2021"
"MATA";"140";"139";"November 2021"
"PALIATIF NYERI";"1";"1";"November 2021"
"PARU";"49";"35";"November 2021"
"PSIKIATRI/JIWA";"62";"83";"November 2021"
"REHAB MEDIK";"162";"164";"November 2021"
"SYARAF";"149";"145";"November 2021"
"TB MDR";"19";"11";"November 2021"
"THT-KL";"67";"54";"November 2021"
"GIZI";"7";"6";"Desember 2021"
"Eksekutif Bedah Umum";"50";"61";"Desember 2021"
"Eksekutif Gigi dan Mulut";"4";"4";"Desember 2021"
"PALIATIF NYERI";"0";"1";"Desember 2021"
"THT-KL";"56";"52";"Desember 2021"
"ASIH";"3";"37";"Desember 2021"
"ANAK";"65";"36";"Desember 2021"
"BEDAH ORTHOPEDI";"197";"214";"Desember 2021"
"Eksekutif Mata";"35";"52";"Desember 2021"
"Eksekutif Rehab Medik";"20";"21";"Desember 2021"
"Eksekutif Bedah Saraf";"18";"11";"Desember 2021"
"TB MDR";"14";"9";"Desember 2021"
"MATA";"99";"136";"Desember 2021"
"Eksekutif Kebidanan/Kandungan";"0";"56";"Desember 2021"
"HEMODIALISA";"120";"86";"Desember 2021"
"GIGI & MULUT";"54";"57";"Desember 2021"
"Eksekutif Anak";"8";"1";"Desember 2021"
"Eksekutif Interne/Penyakit Dalam";"101";"125";"Desember 2021"
"BEDAH UROLOGI";"217";"70";"Desember 2021"
"KULIT & KELAMIN";"92";"102";"Desember 2021"
"BEDAH SYARAF";"41";"53";"Desember 2021"
"REHAB MEDIK";"191";"203";"Desember 2021"
"PSIKIATRI/JIWA";"67";"80";"Desember 2021"
"Eksekutif Saraf";"33";"32";"Desember 2021"
"POLI SPESIALIS";"0";"1";"Desember 2021"
"BEDAH UMUM";"74";"119";"Desember 2021"
"KEBIDANAN/KANDUNGAN";"2";"38";"Desember 2021"
"Eksekutif Bedah Orthopedi";"67";"90";"Desember 2021"
"KELUARGA BERENCANA";"0";"2";"Desember 2021"
"JANTUNG";"267";"246";"Desember 2021"
"Eksekutif Psikiatri / Jiwa";"5";"4";"Desember 2021"
"GENERAL CHECKUP";"349";"650";"Desember 2021"
"SYARAF";"166";"146";"Desember 2021"
"Eksekutif THT";"10";"10";"Desember 2021"
"PARU";"37";"39";"Desember 2021"
"Eksekutif Bedah Urologi";"46";"16";"Desember 2021"
"Eksekutif Kulit dan Kelamin";"21";"24";"Desember 2021"
"Eksekutif Jantung";"58";"72";"Desember 2021"
"INTERNE/PENY. DALAM";"467";"564";"Desember 2021"
"Eksekutif Paru";"12";"2";"Desember 2021"
"Eksekutif Paliatif Nyeri";"3";"5";"Desember 2021"
"GIZI";"8";"5";"Januari 2022"
"Eksekutif Bedah Umum";"52";"65";"Januari 2022"
"Eksekutif Paliatif Nyeri";"6";"4";"Januari 2022"
"Eksekutif Gigi dan Mulut";"1";"1";"Januari 2022"
"THT-KL";"3";"0";"Januari 2022"
"ASIH";"62";"64";"Januari 2022"
"BEDAH ORTHOPEDI";"0";"50";"Januari 2022"
"ANAK";"58";"52";"Januari 2022"
"Eksekutif Mata";"181";"202";"Januari 2022"
"Eksekutif Bedah Saraf";"34";"50";"Januari 2022"
"Eksekutif Rehab Medik";"15";"12";"Januari 2022"
"TB MDR";"18";"23";"Januari 2022"
"MATA";"16";"12";"Januari 2022"
"Eksekutif Kebidanan/Kandungan";"104";"113";"Januari 2022"
"HEMODIALISA";"1";"78";"Januari 2022"
"Eksekutif Anak";"128";"86";"Januari 2022"
"GIGI & MULUT";"53";"63";"Januari 2022"
"BEDAH UROLOGI";"11";"1";"Januari 2022"
"Eksekutif Interne/Penyakit Dalam";"222";"86";"Januari 2022"
"KULIT & KELAMIN";"91";"123";"Januari 2022"
"REHAB MEDIK";"81";"93";"Januari 2022"
"PSIKIATRI/JIWA";"39";"52";"Januari 2022"
"BEDAH SYARAF";"192";"211";"Januari 2022"
"Eksekutif Saraf";"39";"42";"Januari 2022"
"POLI SPESIALIS";"71";"78";"Januari 2022"
"BEDAH UMUM";"69";"109";"Januari 2022"
"KEBIDANAN/KANDUNGAN";"0";"40";"Januari 2022"
"Eksekutif Bedah Orthopedi";"54";"91";"Januari 2022"
"KELUARGA BERENCANA";"0";"2";"Januari 2022"
"JANTUNG";"309";"296";"Januari 2022"
"Eksekutif Psikiatri / Jiwa";"6";"3";"Januari 2022"
"GENERAL CHECKUP";"506";"814";"Januari 2022"
"PARU";"47";"40";"Januari 2022"
"SYARAF";"170";"154";"Januari 2022"
"Eksekutif THT";"9";"11";"Januari 2022"
"Eksekutif Bedah Urologi";"19";"39";"Januari 2022"
"Eksekutif Kulit dan Kelamin";"42";"14";"Januari 2022"
"INTERNE/PENY. DALAM";"489";"573";"Januari 2022"
"Eksekutif Jantung";"70";"98";"Januari 2022"
"Eksekutif Paru";"10";"9";"Januari 2022"
"GIZI";"3";"5";"Februari 2022"
"Eksekutif Bedah Umum";"35";"51";"Februari 2022"
"Eksekutif Gigi dan Mulut";"3";"2";"Februari 2022"
"THT-KL";"57";"53";"Februari 2022"
"VCT";"1";"0";"Februari 2022"
"ASIH";"0";"50";"Februari 2022"
"BEDAH ORTHOPEDI";"195";"205";"Februari 2022"
"ANAK";"55";"39";"Februari 2022"
"Eksekutif Mata";"23";"46";"Februari 2022"
"TB MDR";"17";"11";"Februari 2022"
"Eksekutif Rehab Medik";"11";"21";"Februari 2022"
"Eksekutif Bedah Saraf";"8";"13";"Februari 2022"
"MATA";"95";"101";"Februari 2022"
"Eksekutif Kebidanan/Kandungan";"0";"51";"Februari 2022"
"HEMODIALISA";"127";"95";"Februari 2022"
"GIGI & MULUT";"46";"59";"Februari 2022"
"Eksekutif Anak";"2";"2";"Februari 2022"
"BEDAH UROLOGI";"203";"66";"Februari 2022"
"Eksekutif Interne/Penyakit Dalam";"82";"99";"Februari 2022"
"KULIT & KELAMIN";"70";"89";"Februari 2022"
"BEDAH SYARAF";"38";"62";"Februari 2022"
"REHAB MEDIK";"190";"206";"Februari 2022"
"PSIKIATRI/JIWA";"51";"78";"Februari 2022"
"Eksekutif Saraf";"23";"29";"Februari 2022"
"BEDAH UMUM";"61";"99";"Februari 2022"
"KEBIDANAN/KANDUNGAN";"0";"31";"Februari 2022"
"Eksekutif Estetika";"0";"1";"Februari 2022"
"Eksekutif Bedah Orthopedi";"44";"65";"Februari 2022"
"KELUARGA BERENCANA";"0";"3";"Februari 2022"
"JANTUNG";"248";"225";"Februari 2022"
"Eksekutif Psikiatri / Jiwa";"4";"4";"Februari 2022"
"GENERAL CHECKUP";"164";"169";"Februari 2022"
"SYARAF";"149";"138";"Februari 2022"
"Eksekutif THT";"12";"13";"Februari 2022"
"PARU";"38";"33";"Februari 2022"
"Eksekutif Bedah Urologi";"41";"16";"Februari 2022"
"Eksekutif Kulit dan Kelamin";"22";"21";"Februari 2022"
"INTERNE/PENY. DALAM";"421";"518";"Februari 2022"
"Eksekutif Jantung";"50";"59";"Februari 2022"
"Eksekutif Paru";"8";"3";"Februari 2022"
"Eksekutif Paliatif Nyeri";"1";"2";"Februari 2022"
"PALIATIF NYERI";"2";"0";"Februari 2022"
"GIZI";"9";"3";"Maret 2022"
"Eksekutif Gigi dan Mulut";"4";"4";"Maret 2022"
"Eksekutif Bedah Umum";"37";"44";"Maret 2022"
"PALIATIF NYERI";"1";"2";"Maret 2022"
"THT-KL";"51";"64";"Maret 2022"
"ASIH";"0";"45";"Maret 2022"
"BEDAH ORTHOPEDI";"217";"219";"Maret 2022"
"ANAK";"63";"40";"Maret 2022"
"TB MDR";"17";"20";"Maret 2022"
"Eksekutif Rehab Medik";"13";"19";"Maret 2022"
"Eksekutif Mata";"25";"54";"Maret 2022"
"Eksekutif Bedah Saraf";"6";"11";"Maret 2022"
"MATA";"111";"130";"Maret 2022"
"Eksekutif Kebidanan/Kandungan";"0";"85";"Maret 2022"
"HEMODIALISA";"126";"96";"Maret 2022"
"GIGI & MULUT";"44";"67";"Maret 2022"
"Eksekutif Anak";"3";"0";"Maret 2022"
"BEDAH UROLOGI";"233";"67";"Maret 2022"
"Eksekutif Interne/Penyakit Dalam";"88";"116";"Maret 2022"
"KULIT & KELAMIN";"90";"98";"Maret 2022"
"REHAB MEDIK";"190";"225";"Maret 2022"
"PSIKIATRI/JIWA";"69";"86";"Maret 2022"
"BEDAH SYARAF";"37";"63";"Maret 2022"
"Eksekutif Saraf";"31";"41";"Maret 2022"
"KEBIDANAN/KANDUNGAN";"0";"48";"Maret 2022"
"BEDAH UMUM";"77";"126";"Maret 2022"
"Eksekutif Estetika";"0";"8";"Maret 2022"
"Eksekutif Bedah Orthopedi";"55";"86";"Maret 2022"
"KELUARGA BERENCANA";"0";"2";"Maret 2022"
"JANTUNG";"280";"283";"Maret 2022"
"Eksekutif Psikiatri / Jiwa";"5";"3";"Maret 2022"
"GENERAL CHECKUP";"145";"163";"Maret 2022"
"Eksekutif THT";"18";"12";"Maret 2022"
"SYARAF";"179";"166";"Maret 2022"
"PARU";"44";"42";"Maret 2022"
"Eksekutif Kulit dan Kelamin";"13";"27";"Maret 2022"
"Eksekutif Bedah Urologi";"42";"20";"Maret 2022"
"INTERNE/PENY. DALAM";"494";"598";"Maret 2022"
"Eksekutif Jantung";"72";"73";"Maret 2022"
"Eksekutif Paru";"9";"5";"Maret 2022"
"Eksekutif Paliatif Nyeri";"2";"7";"Maret 2022"
"GIZI";"4";"5";"April 2022"
"Eksekutif Bedah Umum";"42";"36";"April 2022"
"Eksekutif Gigi dan Mulut";"5";"9";"April 2022"
"PALIATIF NYERI";"1";"0";"April 2022"
"THT-KL";"53";"69";"April 2022"
"ASIH";"0";"41";"April 2022"
"BEDAH ORTHOPEDI";"210";"210";"April 2022"
"ANAK";"64";"47";"April 2022"
"TB MDR";"12";"8";"April 2022"
"Eksekutif Rehab Medik";"9";"17";"April 2022"
"Eksekutif Mata";"30";"42";"April 2022"
"Eksekutif Bedah Saraf";"15";"13";"April 2022"
"MATA";"135";"147";"April 2022"
"Eksekutif Kebidanan/Kandungan";"1";"69";"April 2022"
"HEMODIALISA";"130";"103";"April 2022"
"GIGI & MULUT";"42";"46";"April 2022"
"Eksekutif Anak";"5";"2";"April 2022"
"BEDAH UROLOGI";"226";"57";"April 2022"
"Eksekutif Interne/Penyakit Dalam";"68";"85";"April 2022"
"KULIT & KELAMIN";"74";"87";"April 2022"
"REHAB MEDIK";"181";"206";"April 2022"
"PSIKIATRI/JIWA";"61";"87";"April 2022"
"BEDAH SYARAF";"33";"60";"April 2022"
"Eksekutif Saraf";"30";"34";"April 2022"
"Eksekutif Estetika";"3";"35";"April 2022"
"BEDAH UMUM";"57";"96";"April 2022"
"KEBIDANAN/KANDUNGAN";"0";"22";"April 2022"
"Eksekutif Bedah Orthopedi";"55";"75";"April 2022"
"KELUARGA BERENCANA";"0";"1";"April 2022"
"JANTUNG";"277";"260";"April 2022"
"Eksekutif Psikiatri / Jiwa";"7";"6";"April 2022"
"GENERAL CHECKUP";"146";"152";"April 2022"
"PARU";"53";"44";"April 2022"
"SYARAF";"163";"160";"April 2022"
"Eksekutif THT";"9";"7";"April 2022"
"Eksekutif Kulit dan Kelamin";"23";"34";"April 2022"
"Eksekutif Bedah Urologi";"46";"10";"April 2022"
"INTERNE/PENY. DALAM";"472";"548";"April 2022"
"Eksekutif Paru";"8";"5";"April 2022"
"Eksekutif Jantung";"54";"66";"April 2022"
"Eksekutif Paliatif Nyeri";"7";"12";"April 2022"
"GIZI";"2";"3";"Mei 2022"
"Eksekutif Bedah Umum";"32";"45";"Mei 2022"
"Eksekutif Gigi dan Mulut";"2";"3";"Mei 2022"
"THT-KL";"33";"45";"Mei 2022"
"ASIH";"0";"45";"Mei 2022"
"Eksekutif Endoskopi";"1";"0";"Mei 2022"
"BEDAH ORTHOPEDI";"212";"214";"Mei 2022"
"ANAK";"71";"44";"Mei 2022"
"Eksekutif Mata";"28";"48";"Mei 2022"
"TB MDR";"19";"8";"Mei 2022"
"Eksekutif Rehab Medik";"8";"14";"Mei 2022"
"Eksekutif Bedah Saraf";"9";"15";"Mei 2022"
"MATA";"94";"106";"Mei 2022"
"Eksekutif Kebidanan/Kandungan";"1";"65";"Mei 2022"
"HEMODIALISA";"140";"108";"Mei 2022"
"Eksekutif Anak";"7";"1";"Mei 2022"
"GIGI & MULUT";"58";"51";"Mei 2022"
"BEDAH UROLOGI";"210";"65";"Mei 2022"
"Eksekutif Interne/Penyakit Dalam";"59";"78";"Mei 2022"
"KULIT & KELAMIN";"68";"84";"Mei 2022"
"REHAB MEDIK";"192";"183";"Mei 2022"
"PSIKIATRI/JIWA";"59";"73";"Mei 2022"
"BEDAH SYARAF";"54";"70";"Mei 2022"
"Eksekutif Saraf";"25";"35";"Mei 2022"
"BEDAH UMUM";"76";"102";"Mei 2022"
"KEBIDANAN/KANDUNGAN";"2";"36";"Mei 2022"
"Eksekutif Estetika";"2";"15";"Mei 2022"
"Eksekutif Bedah Orthopedi";"42";"66";"Mei 2022"
"KELUARGA BERENCANA";"0";"4";"Mei 2022"
"JANTUNG";"295";"279";"Mei 2022"
"Eksekutif Psikiatri / Jiwa";"3";"6";"Mei 2022"
"GENERAL CHECKUP";"60";"95";"Mei 2022"
"PARU";"40";"44";"Mei 2022"
"SYARAF";"166";"150";"Mei 2022"
"Eksekutif THT";"14";"10";"Mei 2022"
"Eksekutif Kulit dan Kelamin";"13";"24";"Mei 2022"
"Eksekutif Bedah Urologi";"40";"16";"Mei 2022"
"INTERNE/PENY. DALAM";"487";"584";"Mei 2022"
"Eksekutif Jantung";"50";"62";"Mei 2022"
"Eksekutif Paru";"7";"4";"Mei 2022"
"Eksekutif Paliatif Nyeri";"12";"26";"Mei 2022"
"GIZI";"4";"10";"Juni 2022"
"Eksekutif Gigi dan Mulut";"3";"5";"Juni 2022"
"Eksekutif Bedah Umum";"38";"45";"Juni 2022"
"THT-KL";"54";"80";"Juni 2022"
"ASIH";"1";"49";"Juni 2022"
"ANAK";"61";"53";"Juni 2022"
"BEDAH ORTHOPEDI";"247";"238";"Juni 2022"
"Eksekutif Bedah Saraf";"17";"15";"Juni 2022"
"Eksekutif Mata";"27";"53";"Juni 2022"
"TB MDR";"16";"7";"Juni 2022"
"Eksekutif Rehab Medik";"8";"18";"Juni 2022"
"MATA";"129";"170";"Juni 2022"
"Eksekutif Kebidanan/Kandungan";"2";"66";"Juni 2022"
"HEMODIALISA";"134";"102";"Juni 2022"
"GIGI & MULUT";"51";"85";"Juni 2022"
"Eksekutif Anak";"10";"6";"Juni 2022"
"BEDAH UROLOGI";"211";"82";"Juni 2022"
"Eksekutif Interne/Penyakit Dalam";"73";"100";"Juni 2022"
"KULIT & KELAMIN";"97";"117";"Juni 2022"
"REHAB MEDIK";"222";"232";"Juni 2022"
"BEDAH SYARAF";"47";"74";"Juni 2022"
"PSIKIATRI/JIWA";"57";"77";"Juni 2022"
"Eksekutif Saraf";"37";"36";"Juni 2022"
"Eksekutif Estetika";"13";"32";"Juni 2022"
"BEDAH UMUM";"64";"115";"Juni 2022"
"KEBIDANAN/KANDUNGAN";"0";"42";"Juni 2022"
"Eksekutif Bedah Orthopedi";"34";"75";"Juni 2022"
"KELUARGA BERENCANA";"2";"8";"Juni 2022"
"JANTUNG";"307";"321";"Juni 2022"
"Eksekutif Psikiatri / Jiwa";"5";"6";"Juni 2022"
"GENERAL CHECKUP";"186";"247";"Juni 2022"
"SYARAF";"172";"191";"Juni 2022"
"Eksekutif THT";"21";"10";"Juni 2022"
"PARU";"47";"52";"Juni 2022"
"Eksekutif Bedah Urologi";"39";"11";"Juni 2022"
"Eksekutif Kulit dan Kelamin";"16";"38";"Juni 2022"
"INTERNE/PENY. DALAM";"521";"607";"Juni 2022"
"ANASTESI";"22";"26";"Juni 2022"
"Eksekutif Jantung";"64";"66";"Juni 2022"
"Eksekutif Paru";"9";"6";"Juni 2022"
"Eksekutif Paliatif Nyeri";"11";"18";"Juni 2022"
"PALIATIF NYERI";"0";"1";"Juni 2022"
"GIZI";"6";"5";"Juli 2022"
"Eksekutif Bedah Umum";"39";"51";"Juli 2022"
"Eksekutif Gigi dan Mulut";"6";"6";"Juli 2022"
"THT-KL";"64";"59";"Juli 2022"
"ASIH";"0";"59";"Juli 2022"
"Eksekutif Endoskopi";"0";"1";"Juli 2022"
"BEDAH ORTHOPEDI";"244";"243";"Juli 2022"
"ANAK";"71";"54";"Juli 2022"
"Eksekutif Mata";"25";"46";"Juli 2022"
"Eksekutif Bedah Saraf";"16";"13";"Juli 2022"
"TB MDR";"15";"9";"Juli 2022"
"Eksekutif Rehab Medik";"8";"27";"Juli 2022"
"MATA";"130";"162";"Juli 2022"
"Eksekutif Kebidanan/Kandungan";"0";"63";"Juli 2022"
"HEMODIALISA";"139";"106";"Juli 2022"
"Eksekutif Anak";"4";"3";"Juli 2022"
"GIGI & MULUT";"60";"92";"Juli 2022"
"Eksekutif Interne/Penyakit Dalam";"68";"98";"Juli 2022"
"BEDAH UROLOGI";"200";"59";"Juli 2022"
"KULIT & KELAMIN";"88";"108";"Juli 2022"
"REHAB MEDIK";"216";"237";"Juli 2022"
"PSIKIATRI/JIWA";"65";"85";"Juli 2022"
"BEDAH SYARAF";"51";"80";"Juli 2022"
"Eksekutif Saraf";"35";"33";"Juli 2022"
"Eksekutif Estetika";"15";"42";"Juli 2022"
"BEDAH UMUM";"46";"106";"Juli 2022"
"KEBIDANAN/KANDUNGAN";"1";"49";"Juli 2022"
"Eksekutif Bedah Orthopedi";"53";"58";"Juli 2022"
"KELUARGA BERENCANA";"0";"4";"Juli 2022"
"JANTUNG";"283";"316";"Juli 2022"
"Eksekutif Psikiatri / Jiwa";"2";"5";"Juli 2022"
"GENERAL CHECKUP";"208";"306";"Juli 2022"
"SYARAF";"172";"166";"Juli 2022"
"PARU";"53";"38";"Juli 2022"
"Eksekutif THT";"11";"5";"Juli 2022"
"Eksekutif Kulit dan Kelamin";"29";"30";"Juli 2022"
"Eksekutif Bedah Urologi";"39";"14";"Juli 2022"
"INTERNE/PENY. DALAM";"526";"615";"Juli 2022"
"Eksekutif Paru";"10";"6";"Juli 2022"
"Eksekutif Jantung";"49";"56";"Juli 2022"
"ANASTESI";"21";"28";"Juli 2022"
"Eksekutif Paliatif Nyeri";"12";"17";"Juli 2022"
"PALIATIF NYERI";"0";"1";"Juli 2022"
"GIZI";"4";"2";"Agustus 2022"
"Eksekutif Bedah Umum";"45";"49";"Agustus 2022"
"Eksekutif Gigi dan Mulut";"2";"5";"Agustus 2022"
"THT-KL";"68";"67";"Agustus 2022"
"ASIH";"0";"42";"Agustus 2022"
"Eksekutif Endoskopi";"1";"0";"Agustus 2022"
"BEDAH ORTHOPEDI";"238";"271";"Agustus 2022"
"ANAK";"78";"59";"Agustus 2022"
"Eksekutif Bedah Saraf";"23";"11";"Agustus 2022"
"Eksekutif Mata";"49";"46";"Agustus 2022"
"TB MDR";"20";"7";"Agustus 2022"
"Eksekutif Rehab Medik";"9";"17";"Agustus 2022"
"MATA";"123";"149";"Agustus 2022"
"Eksekutif Kebidanan/Kandungan";"0";"72";"Agustus 2022"
"HEMODIALISA";"138";"112";"Agustus 2022"
"GIGI & MULUT";"64";"106";"Agustus 2022"
"Eksekutif Anak";"8";"7";"Agustus 2022"
"Eksekutif Interne/Penyakit Dalam";"96";"118";"Agustus 2022"
"BEDAH UROLOGI";"186";"57";"Agustus 2022"
"KULIT & KELAMIN";"95";"111";"Agustus 2022"
"REHAB MEDIK";"239";"256";"Agustus 2022"
"PSIKIATRI/JIWA";"66";"88";"Agustus 2022"
"BEDAH SYARAF";"58";"102";"Agustus 2022"
"Eksekutif Saraf";"40";"42";"Agustus 2022"
"Eksekutif Estetika";"11";"34";"Agustus 2022"
"KEBIDANAN/KANDUNGAN";"1";"52";"Agustus 2022"
"BEDAH UMUM";"69";"112";"Agustus 2022"
"Eksekutif Bedah Orthopedi";"57";"60";"Agustus 2022"
"KELUARGA BERENCANA";"0";"4";"Agustus 2022"
"JANTUNG";"313";"330";"Agustus 2022"
"Eksekutif Psikiatri / Jiwa";"1";"4";"Agustus 2022"
"GENERAL CHECKUP";"286";"358";"Agustus 2022"
"SYARAF";"201";"175";"Agustus 2022"
"PARU";"44";"40";"Agustus 2022"
"Eksekutif THT";"15";"19";"Agustus 2022"
"Eksekutif Bedah Urologi";"27";"13";"Agustus 2022"
"Eksekutif Kulit dan Kelamin";"19";"17";"Agustus 2022"
"INTERNE/PENY. DALAM";"571";"630";"Agustus 2022"
"Eksekutif Jantung";"73";"71";"Agustus 2022"
"ANASTESI";"22";"30";"Agustus 2022"
"Eksekutif Paru";"9";"7";"Agustus 2022"
"Eksekutif Paliatif Nyeri";"15";"33";"Agustus 2022"
"PALIATIF NYERI";"1";"3";"Agustus 2022"
"GIZI";"10";"3";"September 2022"
"Eksekutif Bedah Umum";"44";"49";"September 2022"
"Eksekutif Gigi dan Mulut";"4";"4";"September 2022"
"THT-KL";"64";"64";"September 2022"
"ASIH";"0";"40";"September 2022"
"ANAK";"118";"75";"September 2022"
"BEDAH ORTHOPEDI";"221";"247";"September 2022"
"Eksekutif Mata";"28";"51";"September 2022"
"TB MDR";"20";"10";"September 2022"
"Eksekutif Rehab Medik";"13";"25";"September 2022"
"Eksekutif Bedah Saraf";"10";"18";"September 2022"
"Eksekutif Kebidanan/Kandungan";"0";"62";"September 2022"
"MATA";"108";"123";"September 2022"
"HEMODIALISA";"140";"117";"September 2022"
"GIGI & MULUT";"63";"93";"September 2022"
"Eksekutif Anak";"5";"10";"September 2022"
"Eksekutif Interne/Penyakit Dalam";"82";"108";"September 2022"
"BEDAH UROLOGI";"207";"64";"September 2022"
"KULIT & KELAMIN";"75";"113";"September 2022"
"REHAB MEDIK";"246";"263";"September 2022"
"PSIKIATRI/JIWA";"72";"80";"September 2022"
"BEDAH SYARAF";"58";"88";"September 2022"
"Eksekutif Saraf";"34";"44";"September 2022"
"Eksekutif Estetika";"13";"33";"September 2022"
"BEDAH UMUM";"75";"119";"September 2022"
"KEBIDANAN/KANDUNGAN";"2";"37";"September 2022"
"Eksekutif Bedah Orthopedi";"50";"73";"September 2022"
"KELUARGA BERENCANA";"0";"2";"September 2022"
"JANTUNG";"325";"298";"September 2022"
"Eksekutif Psikiatri / Jiwa";"1";"4";"September 2022"
"GENERAL CHECKUP";"218";"305";"September 2022"
"SYARAF";"197";"165";"September 2022"
"Eksekutif THT";"19";"22";"September 2022"
"PARU";"43";"34";"September 2022"
"Eksekutif Bedah Urologi";"47";"11";"September 2022"
"Eksekutif Kulit dan Kelamin";"18";"19";"September 2022"
"INTERNE/PENY. DALAM";"559";"657";"September 2022"
"Eksekutif Paru";"9";"6";"September 2022"
"Eksekutif Jantung";"70";"77";"September 2022"
"ANASTESI";"20";"18";"September 2022"
"Eksekutif Paliatif Nyeri";"21";"32";"September 2022"
"PALIATIF NYERI";"1";"2";"September 2022"
"GIZI";"14";"8";"Januari 2019"
"Eksekutif Bedah Umum";"53";"67";"Januari 2019"
"Eksekutif Gigi dan Mulut";"8";"8";"Januari 2019"
"THT-KL";"109";"104";"Januari 2019"
"VCT";"1";"0";"Januari 2019"
"ASIH";"1";"46";"Januari 2019"
"Eksekutif Endoskopi";"3";"11";"Januari 2019"
"ANAK";"91";"69";"Januari 2019"
"BEDAH ORTHOPEDI";"234";"214";"Januari 2019"
"Eksekutif Rehab Medik";"20";"26";"Januari 2019"
"Eksekutif Mata";"52";"65";"Januari 2019"
"Eksekutif Bedah Saraf";"25";"27";"Januari 2019"
"TB MDR";"1";"0";"Januari 2019"
"MATA";"168";"209";"Januari 2019"
"Eksekutif Kebidanan/Kandungan";"0";"66";"Januari 2019"
"GIGI & MULUT";"48";"66";"Januari 2019"
"Eksekutif Anak";"8";"14";"Januari 2019"
"Eksekutif Interne/Penyakit Dalam";"138";"156";"Januari 2019"
"BEDAH UROLOGI";"349";"102";"Januari 2019"
"KULIT & KELAMIN";"74";"93";"Januari 2019"
"REHAB MEDIK";"161";"204";"Januari 2019"
"BEDAH SYARAF";"71";"71";"Januari 2019"
"PSIKIATRI/JIWA";"27";"45";"Januari 2019"
"Eksekutif Saraf";"58";"53";"Januari 2019"
"POLI SPESIALIS";"1";"0";"Januari 2019"
"BEDAH UMUM";"105";"131";"Januari 2019"
"KEBIDANAN/KANDUNGAN";"3";"62";"Januari 2019"
"Eksekutif Bedah Orthopedi";"72";"77";"Januari 2019"
"KELUARGA BERENCANA";"0";"12";"Januari 2019"
"JANTUNG";"453";"541";"Januari 2019"
"Eksekutif Psikiatri / Jiwa";"2";"4";"Januari 2019"
"GENERAL CHECKUP";"227";"403";"Januari 2019"
"SYARAF";"182";"224";"Januari 2019"
"PARU";"87";"82";"Januari 2019"
"Eksekutif THT";"18";"19";"Januari 2019"
"Eksekutif Kulit dan Kelamin";"35";"38";"Januari 2019"
"Eksekutif Bedah Urologi";"55";"18";"Januari 2019"
"INTERNE/PENY. DALAM";"693";"811";"Januari 2019"
"Eksekutif Jantung";"101";"110";"Januari 2019"
"Eksekutif Paru";"6";"12";"Januari 2019"
"Eksekutif Paliatif Nyeri";"18";"17";"Januari 2019"
"PALIATIF NYERI";"0";"1";"Januari 2019"
"GIZI";"10";"10";"Februari 2019"
"Eksekutif Gigi dan Mulut";"11";"8";"Februari 2019"
"Eksekutif Bedah Umum";"48";"43";"Februari 2019"
"Eksekutif Paliatif Nyeri";"12";"10";"Februari 2019"
"PALIATIF NYERI";"1";"2";"Februari 2019"
"THT-KL";"121";"119";"Februari 2019"
"VCT";"1";"0";"Februari 2019"
"ASIH";"1";"47";"Februari 2019"
"Eksekutif Endoskopi";"6";"7";"Februari 2019"
"BEDAH ORTHOPEDI";"208";"192";"Februari 2019"
"ANAK";"86";"76";"Februari 2019"
"Eksekutif Rehab Medik";"25";"33";"Februari 2019"
"Eksekutif Mata";"42";"62";"Februari 2019"
"Eksekutif Bedah Saraf";"18";"22";"Februari 2019"
"MATA";"136";"177";"Februari 2019"
"Eksekutif Kebidanan/Kandungan";"2";"59";"Februari 2019"
"GIGI & MULUT";"50";"55";"Februari 2019"
"Eksekutif Anak";"14";"10";"Februari 2019"
"BEDAH UROLOGI";"308";"82";"Februari 2019"
"Eksekutif Interne/Penyakit Dalam";"139";"173";"Februari 2019"
"KULIT & KELAMIN";"67";"86";"Februari 2019"
"REHAB MEDIK";"141";"185";"Februari 2019"
"BEDAH SYARAF";"63";"64";"Februari 2019"
"PSIKIATRI/JIWA";"40";"55";"Februari 2019"
"Eksekutif Saraf";"55";"42";"Februari 2019"
"KEBIDANAN/KANDUNGAN";"1";"72";"Februari 2019"
"BEDAH UMUM";"99";"120";"Februari 2019"
"Eksekutif Bedah Orthopedi";"83";"94";"Februari 2019"
"KELUARGA BERENCANA";"0";"9";"Februari 2019"
"JANTUNG";"436";"510";"Februari 2019"
"Eksekutif Psikiatri / Jiwa";"5";"4";"Februari 2019"
"GENERAL CHECKUP";"54";"47";"Februari 2019"
"PARU";"86";"97";"Februari 2019"
"Eksekutif THT";"16";"18";"Februari 2019"
"SYARAF";"154";"208";"Februari 2019"
"Eksekutif Kulit dan Kelamin";"19";"31";"Februari 2019"
"Eksekutif Bedah Urologi";"48";"13";"Februari 2019"
"INTERNE/PENY. DALAM";"657";"754";"Februari 2019"
